Tipo atencion AHEO;Ano Mes Aporte/Ocurrencia;Suma de Cantidad de Atenciones;Suma de Cantidad de Atendidos
AMBULATORIO;201807;210614;154307
AMBULATORIO;201808;209775;153505
AMBULATORIO;201809;203685;149896
AMBULATORIO;201810;215276;156803
AMBULATORIO;201811;202420;149423
AMBULATORIO;201812;179268;133591
AMBULATORIO;201901;208621;152103
AMBULATORIO;201902;188992;140883
AMBULATORIO;201903;206902;151787
AMBULATORIO;201904;198926;145096
AMBULATORIO;201905;212659;155051
AMBULATORIO;201906;205458;151499
AMBULATORIO;201907;223226;163319
AMBULATORIO;201908;216432;159776
AMBULATORIO;201909;218830;160228
AMBULATORIO;201910;223323;162218
AMBULATORIO;201911;210394;154917
AMBULATORIO;201912;192733;142600
AMBULATORIO;202001;217802;155030
AMBULATORIO;202002;200956;146200
AMBULATORIO;202003;137200;104365
AMBULATORIO;202004;40353;32253
AMBULATORIO;202005;51969;40914
AMBULATORIO;202006;84633;64306
AMBULATORIO;202007;116217;87081
AMBULATORIO;202008;151068;106352
AMBULATORIO;202009;134598;97925
AMBULATORIO;202010;152388;111933
AMBULATORIO;202011;155204;115221
AMBULATORIO;202012;146126;110225
AMBULATORIO;202101;175724;126914
AMBULATORIO;202102;148735;108707
AMBULATORIO;202103;181222;130692
AMBULATORIO;202104;176317;127856
AMBULATORIO;202105;172170;126930
AMBULATORIO;202106;166771;125800
AMBULATORIO;202107;173307;131501
AMBULATORIO;202108;184904;139206
AMBULATORIO;202109;187551;141044
AMBULATORIO;202110;187277;142159
AMBULATORIO;202111;194566;146673
AMBULATORIO;202112;188446;141906
AMBULATORIO;202201;248432;182735
AMBULATORIO;202202;178860;137209
AMBULATORIO;202203;207432;156344
AMBULATORIO;202204;187986;143939
AMBULATORIO;202205;219862;164490
AMBULATORIO;202206;231143;171165
AMBULATORIO;202207;251400;182997
AMBULATORIO;202208;252758;183094
AMBULATORIO;202209;235025;173193
AMBULATORIO;202210;227961;171074
AMBULATORIO;202211;262165;189815
AMBULATORIO;202212;220677;163527
AMBULATORIO;202301;214725;160089
AMBULATORIO;202302;202095;152748
AMBULATORIO;202303;252121;183754
AMBULATORIO;202304;223465;166765
AMBULATORIO;202305;247193;180926
AMBULATORIO;202306;242001;179185
AMBULATORIO;202307;232572;175192
AMBULATORIO;202308;243227;180515
AMBULATORIO;202309;235659;174801
AMBULATORIO;202310;233694;173658
AMBULATORIO;202311;232357;173228
AMBULATORIO;202312;221602;166292
AMBULATORIO;202401;238463;174504
AMBULATORIO;202402;212767;160142
AMBULATORIO;202403;221173;167292
AMBULATORIO;202404;249426;184261
AMBULATORIO;202405;248380;184362
AMBULATORIO;202406;234018;177593
AMBULATORIO;202407;260243;194290
AMBULATORIO;202408;249293;187677
AMBULATORIO;202409;257461;192565
AMBULATORIO;202410;249893;187709
AMBULATORIO;202411;231715;175476
AMBULATORIO;202412;214222;165197
AMBULATORIO;202501;210234;158246
AMBULATORIO;202502;98232;80006
AMBULATORIO;202503;2145;2030
AMBULATORIO;202511;1;1
AMBULATORIO;202512;1;1
AMBULATORIO;(en blanco);80;79
ONCOLOGICO;200707;1;1
ONCOLOGICO;201006;2;2
ONCOLOGICO;201010;1;1
ONCOLOGICO;201102;1;1
ONCOLOGICO;201111;3;2
ONCOLOGICO;201204;1;1
ONCOLOGICO;201205;1;1
ONCOLOGICO;201206;1;1
ONCOLOGICO;201210;2;1
ONCOLOGICO;201302;2;2
ONCOLOGICO;201304;2;2
ONCOLOGICO;201305;3;3
ONCOLOGICO;201306;2;2
ONCOLOGICO;201307;5;5
ONCOLOGICO;201308;3;3
ONCOLOGICO;201309;9;8
ONCOLOGICO;201310;4;3
ONCOLOGICO;201311;5;3
ONCOLOGICO;201312;7;6
ONCOLOGICO;201401;12;11
ONCOLOGICO;201402;18;16
ONCOLOGICO;201403;18;14
ONCOLOGICO;201404;61;47
ONCOLOGICO;201405;128;101
ONCOLOGICO;201406;228;153
ONCOLOGICO;201407;212;161
ONCOLOGICO;201408;282;208
ONCOLOGICO;201409;371;257
ONCOLOGICO;201410;850;479
ONCOLOGICO;201411;1373;665
ONCOLOGICO;201412;1797;792
ONCOLOGICO;201501;1996;882
ONCOLOGICO;201502;1915;880
ONCOLOGICO;201503;2025;888
ONCOLOGICO;201504;2006;883
ONCOLOGICO;201505;1873;836
ONCOLOGICO;201506;1970;861
ONCOLOGICO;201507;2101;910
ONCOLOGICO;201508;2151;917
ONCOLOGICO;201509;2010;879
ONCOLOGICO;201510;2100;906
ONCOLOGICO;201511;2003;940
ONCOLOGICO;201512;1934;827
ONCOLOGICO;201601;1967;885
ONCOLOGICO;201602;1963;893
ONCOLOGICO;201603;2000;870
ONCOLOGICO;201604;2076;914
ONCOLOGICO;201605;2184;925
ONCOLOGICO;201606;2112;889
ONCOLOGICO;201607;2070;900
ONCOLOGICO;201608;2299;941
ONCOLOGICO;201609;2328;960
ONCOLOGICO;201610;2348;971
ONCOLOGICO;201611;2365;952
ONCOLOGICO;201612;2322;915
ONCOLOGICO;201701;2486;958
ONCOLOGICO;201702;2206;893
ONCOLOGICO;201703;2543;1021
ONCOLOGICO;201704;2181;895
ONCOLOGICO;201705;2527;1022
ONCOLOGICO;201706;2314;940
ONCOLOGICO;201707;2310;942
ONCOLOGICO;201708;2352;954
ONCOLOGICO;201709;2367;939
ONCOLOGICO;201710;2319;941
ONCOLOGICO;201711;2391;996
ONCOLOGICO;201712;2199;917
ONCOLOGICO;201801;2561;1069
ONCOLOGICO;201802;2314;1006
ONCOLOGICO;201803;2417;1063
ONCOLOGICO;201804;2495;1053
ONCOLOGICO;201805;2566;1077
ONCOLOGICO;201806;2371;985
ONCOLOGICO;201807;2720;1081
ONCOLOGICO;201808;2767;1103
ONCOLOGICO;201809;2572;1076
ONCOLOGICO;201810;2775;1098
ONCOLOGICO;201811;2696;1118
ONCOLOGICO;201812;2366;1018
ONCOLOGICO;201901;2836;1127
ONCOLOGICO;201902;2506;1039
ONCOLOGICO;201903;2778;1100
ONCOLOGICO;201904;2783;1101
ONCOLOGICO;201905;2790;1141
ONCOLOGICO;201906;2434;1043
ONCOLOGICO;201907;2729;1139
ONCOLOGICO;201908;2760;1139
ONCOLOGICO;201909;2593;1103
ONCOLOGICO;201910;2905;1145
ONCOLOGICO;201911;2731;1071
ONCOLOGICO;201912;2581;1022
ONCOLOGICO;202001;3052;1179
ONCOLOGICO;202002;2595;1078
ONCOLOGICO;202003;2020;854
ONCOLOGICO;202004;1276;435
ONCOLOGICO;202005;1450;542
ONCOLOGICO;202006;1856;758
ONCOLOGICO;202007;2098;890
ONCOLOGICO;202008;2176;919
ONCOLOGICO;202009;2128;905
ONCOLOGICO;202010;2329;999
ONCOLOGICO;202011;2447;1022
ONCOLOGICO;202012;2299;992
ONCOLOGICO;202101;2436;1050
ONCOLOGICO;202102;2065;910
ONCOLOGICO;202103;2655;1058
ONCOLOGICO;202104;2288;946
ONCOLOGICO;202105;2324;966
ONCOLOGICO;202106;2390;1045
ONCOLOGICO;202107;2350;1044
ONCOLOGICO;202108;2576;1088
ONCOLOGICO;202109;2714;1109
ONCOLOGICO;202110;2617;1093
ONCOLOGICO;202111;2688;1132
ONCOLOGICO;202112;2510;1073
ONCOLOGICO;202201;2493;1024
ONCOLOGICO;202202;2369;1038
ONCOLOGICO;202203;2890;1161
ONCOLOGICO;202204;2402;1018
ONCOLOGICO;202205;2577;1064
ONCOLOGICO;202206;2350;1072
ONCOLOGICO;202207;2232;1040
ONCOLOGICO;202208;2538;1092
ONCOLOGICO;202209;2552;1112
ONCOLOGICO;202210;2622;1127
ONCOLOGICO;202211;2704;1171
ONCOLOGICO;202212;2471;1106
ONCOLOGICO;202301;2707;1146
ONCOLOGICO;202302;2489;1131
ONCOLOGICO;202303;2863;1220
ONCOLOGICO;202304;2375;1094
ONCOLOGICO;202305;2909;1244
ONCOLOGICO;202306;2685;1216
ONCOLOGICO;202307;2594;1183
ONCOLOGICO;202308;2765;1202
ONCOLOGICO;202309;2665;1181
ONCOLOGICO;202310;2671;1168
ONCOLOGICO;202311;2707;1245
ONCOLOGICO;202312;2307;1061
ONCOLOGICO;202401;2917;1278
ONCOLOGICO;202402;2729;1247
ONCOLOGICO;202403;2642;1224
ONCOLOGICO;202404;3120;1359
ONCOLOGICO;202405;2785;1233
ONCOLOGICO;202406;2597;1197
ONCOLOGICO;202407;2798;1288
ONCOLOGICO;202408;2705;1235
ONCOLOGICO;202409;2622;1233
ONCOLOGICO;202410;2577;1206
ONCOLOGICO;202411;2542;1235
ONCOLOGICO;202412;2365;1157
ONCOLOGICO;202501;2479;1142
ONCOLOGICO;202502;1421;784
ONCOLOGICO;202503;59;52
